"Date     Sales"
"########   17686.3"
"########   16238.5"
"########   17684.8"
"########   16770.8"
"########   13681.2"
"########    5377.9"
"########   18013.6"
"########    8949.6"
"########   19539.5"
"########   19980.1"
"########   17117.9"
"########   12597.8"
"########    5282.6"
"########   23566.4"
"########   21552.7"
"########   42180.3"
"########   28093.4"
"########   31941.9"
"########   29022.1"
"########     7198"
"########   58347.6"
"########   55071.4"
"########   51987.1"
"########   51983.5"
"########   57381.2"
"########   45213.2"
"########    7451.1"
"########   45008.1"
"########   19706.5"
"########    6054.1"
"########   19278.2"
"########   14499.4"
"########    13129"
"########    5060.2"
"########   14750.3"
"########    4785.6"
"########    16788"
"########    16619"
"########   15167.4"
"########   10330.9"
"########    4677.3"
"########   20604.7"
"########   21115.8"
"########   20422.1"
"########   22340.8"
"########   48591.5"
"########   24108.1"
"########    6107.8"
"########   50549.4"
"########   57816.7"
"########   41733.3"
"########   48369.7"
"########   60572.4"
"########    20419"
"########    2416.6"
"########   30995.2"
"########   22823.1"
"########   30631.4"
"########   22340.3"
"########   15410.8"
"########    9801.7"
"########    3541.2"
"########   14631.5"
"########   12010.6"
"########   10988.9"
"########   10899.9"
"########    9983.8"
"########    6276.5"
"########    2521.4"
"########   12038.8"
"########    6078.6"
"########   14545.8"
"########   14845.5"
"########   17496.2"
"########   16003.2"
"########    4595.1"
"########   42107.4"
"########   36581.8"
"########    39892"
"########   48329.5"
"########   59797.5"
"########   18623.2"
"########    4495.1"
"########   47455.7"
"########    50108"
"########    40303"
"########   49182.3"
"########    25446"
"########   15390.9"
"########    3012.1"
"########   13229.5"
"########   10515.6"
"########    9928.2"
"########   10090.6"
"########    9650.9"
"########    6406.6"
"########    2360.7"
"########    9899.7"
"########    8546.8"
"########    8643.2"
"########    9299.9"
"########   10904.9"
"########    7253.7"
"########    2509.9"
"########   18611.5"
"########    23965"
"########   22363.1"
"########   25555.6"
"########   29049.3"
"########    23002"
"########    5304.6"
"########   45420.6"
"########   42336.8"
"########    9293.7"
"########   51757.3"
"########   44154.6"
"########   21527.6"
"########    3058.5"
"########   47041.5"
"########   20839.1"
"########    7353.6"
"########    7959.7"
"########    7559.3"
"########    6162.3"
"########    2085.9"
"########     8120"
"########    7464.4"
"########    6385.6"
"########     7873"
"########    8899.9"
"########    5812.9"
"########    2215.1"
"########    8717.6"
"########    11287"
"########    12726"
"########   15798.4"
"########   18667.6"
"########   19180.4"
"########    4331.7"
"########   32589.4"
"########   36437.7"
"########   32795.7"
"########   30409.3"
"########   40005.7"
"########   15070.5"
"########    2343.3"
"########   41210.2"
"########   48276.2"
"########   43421.1"
"########   33991.7"
"########   16010.9"
"########    6986.7"
"########    2718.4"
"########   10131.1"
"########    9970.3"
"########   10905.6"
"########    8210.8"
"########    9080.8"
"########    2191.7"
"########    2559.2"
"########    9920.1"
"########    9332.1"
"########   10593.3"
"########   12838.9"
"########   14402.9"
"########   10866.3"
"########    3598.1"
"########   24425.7"
"########   32450.5"
"########   35041.9"
"########   28088.8"
"########   24412.5"
"########   18723.1"
"########    4274.9"
"########   45805.7"
"########   35566.3"
"########    46703"
""
